Código,Denominación,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,Cód.Postal,Teléfono,Enseñanzas,Servicios,Biling
14007684,Instituto de Educación Secundaria,Antonio María Calero,Público,Avda. Marcos Redondo  s/n,Pozoblanco,Pozoblanco,Córdoba,14400,957139550,SEC-BAC-CFGM-CFGS,TE,CBI
14005663,Instituto de Educación Secundaria,Los Pedroches,Público,C/ Marcos Redondo  s/n,Pozoblanco,Pozoblanco,Córdoba,14400,957139546,SEC-BAC-CFGM-CFGS,PAE-TE,CBI
14700651,Instituto de Educación Secundaria,Ricardo Delgado Vizcaíno,Público,C/ Dr. Antonio Cabrera  46,Pozoblanco,Pozoblanco,Córdoba,14400,957139525,SEC-EE,TE,
14005936,Instituto de Educación Secundaria,álvarez Cubero,Público,Avda. Niceto Alcalá-Zamora  s/n,Priego de Córdoba,Priego de Córdoba,Córdoba,14800,957559919,SEC-BAC-CFGM-EE-CFGS,PAE-TE,CBF-CBI
14700377,Instituto de Educación Secundaria,Carmen Pantión,Público,C/ Haza Luna  s/n,Priego de Córdoba,Priego de Córdoba,Córdoba,14800,957559928,SEC-BAC-CFGM-CFGS,PAC-PAE,CBF-CBI
14005912,Instituto de Educación Secundaria,Fernando III El Santo,Público,Avda. de Espaía  83,Priego de Córdoba,Priego de Córdoba,Córdoba,14800,957540418,SEC-BAC-CFGM-CFGS,TE,CBI
14700663,Instituto de Educación Secundaria,Fuente  Lamo,Público,Ctra. del Palomar  s/n,Puente Genil,Puente Genil,Córdoba,14500,957618501,SEC,TE,CBI
14007350,Instituto de Educación Secundaria,Ingeniero Juan de la Cierva,Público,C/ Cortes Espaíolas  s/n,Puente Genil,Puente Genil,Córdoba,14500,957618906,SEC-BAC-CFGM-EE-CFGS,PAE-TE,
14006217,Instituto de Educación Secundaria,Manuel Reina,Público,C/ Cristábal del Castillo  2,Puente Genil,Puente Genil,Córdoba,14500,957618579,SEC-BAC-CFGM-EE-CFGS,PAE,CBI
14000021,Instituto de Educación Secundaria,Profesor Andrés Bojollo,Público,Avda. de Europa  s/n,Puente Genil,Puente Genil,Córdoba,14500,957618907,SEC-BAC,,CBI
14700468,Instituto de Educación Secundaria,Nuevo Scala,Público,C/ Junquillo  s/n,Rute,Rute,Córdoba,14960,957596816,SEC-BAC-CFGM-EE,TE,
14006576,Instituto de Educación Secundaria,Arcelacis,Público,C/ Villargallegos  s/n,Santaella,Santaella,Córdoba,14546,957307535,SEC-BAC-EE,TE,
14700444,Instituto de Educación Secundaria,Nuestra Señora de la Estrella,Público,Avda. de la Estrella  s/n,Villa del Ró,Villa del Ró,Córdoba,14640,957199700,SEC-EE,TE,CBI
14700432,Instituto de Educación Secundaria,La Soledad,Público,C/ La Soledad  s/n,Villafranca de Córdoba,Villafranca de Córdoba,Córdoba,14420,957199545,SEC,,
14700316,Instituto de Educación Secundaria,La Jara,Público,C/ Navaluenga  s/n,Villanueva de Córdoba,Villanueva de Córdoba,Córdoba,14440,957139834,SEC-BAC-CFGM-EE-CFGS,TE,CBI
14000343,Instituto de Educación Secundaria,Villarrubia,Público,C/ Turia  s/n,Villarrubia,Córdoba,Córdoba,14710,957734930,SEC-BAC-EE,TE,
14700419,Instituto de Educación Secundaria,La Escribana,Público,C/ Cultura Sebastión  9,Villaviciosa de Córdoba,Villaviciosa de Córdoba,Córdoba,14300,957365523,SEC,PAC-TE,CBI


